start_time,end_time,wav_file,emotion,val,act,dom
69.34,74.29,Ses01F_impro02_M005,sad,2.0,3.0,1.5
114.1775,117.85,Ses01F_impro02_M009,sad,2.0,1.5,2.5
120.4105,124.63,Ses01F_impro02_M010,sad,2.0,2.0,1.5
133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5
147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2.0,2.0
157.98,162.71,Ses01F_impro02_M013,sad,1.5,2.0,2.0
164.885,169.5,Ses01F_impro02_M014,sad,1.5,3.0,1.5
175.47,176.72,Ses01F_impro02_M015,neu,3.0,3.0,1.5
4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667
7.93,11.37,Ses01F_impro03_F001,hap,4.0,2.6667,2.6667
12.8,15.37,Ses01F_impro03_F002,hap,4.3333,3.0,2.3333
21.75,25.52,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333
25.5584,28.14,Ses01F_impro03_F005,hap,4.3333,4.0,2.3333
28.37,34.71,Ses01F_impro03_F006,hap,4.0,3.3333,2.6667
40.12,42.79,Ses01F_impro03_F008,hap,4.0,3.3333,2.3333
42.84,44.54,Ses01F_impro03_F009,hap,4.0,2.6667,2.3333
47.87,51.075,Ses01F_impro03_F010,hap,4.0,3.3333,3.0
55.865,58.15,Ses01F_impro03_F012,hap,4.0,3.6667,2.6667
60.73,65.86,Ses01F_impro03_F013,hap,5.0,4.0,3.3333
74.2675,78.8425,Ses01F_impro03_F015,hap,4.6667,3.6667,3.0
79.035,81.0875,Ses01F_impro03_F016,hap,4.0,3.0,2.3333
82.0975,85.08,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333
85.1,88.0225,Ses01F_impro03_F018,neu,3.6667,3.0,2.0
88.08,89.5,Ses01F_impro03_F019,neu,3.6667,2.3333,2.0
92.75,98.21,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667
99.7775,102.03,Ses01F_impro03_F022,neu,3.3333,2.6667,2.0
102.62,103.4625,Ses01F_impro03_F023,neu,3.0,2.3333,2.0
103.78,108.1825,Ses01F_impro03_F024,hap,4.3333,3.0,2.6667
110.23,114.16,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333
114.19,120.2,Ses01F_impro03_F026,hap,4.6667,4.0,3.0
3.24,5.46,Ses01F_impro03_M000,neu,4.0,3.0,2.6667
6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333
14.93,18.9075,Ses01F_impro03_M003,hap,5.0,4.6667,3.0
34.25,36.34,Ses01F_impro03_M006,neu,4.0,2.6667,2.3333
37.7175,40.47,Ses01F_impro03_M007,hap,4.0,3.0,2.3333
42.09,43.41,Ses01F_impro03_M008,neu,4.0,2.6667,2.0
44.16,49.07,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333
52.92,56.85,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667
65.6425,68.44,Ses01F_impro03_M013,hap,4.6667,4.0,3.0
73.41,76.9975,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667
78.32,80.5,Ses01F_impro03_M015,hap,4.0,3.0,2.6667
80.7175,82.5225,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667
89.12,93.91,Ses01F_impro03_M019,neu,3.0,3.0,2.3333
97.03,101.65,Ses01F_impro03_M020,neu,3.3333,3.0,2.6667
101.67,104.35,Ses01F_impro03_M021,neu,3.0,3.3333,2.6667
105.29,106.95,Ses01F_impro03_M022,hap,4.0,3.3333,2.6667
107.71,111.4,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667
117.36,119.58,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333
7.2455,11.64,Ses01F_impro04_F000,neu,3.0,3.0,3.0
11.7448,16.15,Ses01F_impro04_F001,neu,2.5,2.5,3.0
43.35,45.7596,Ses01F_impro04_F005,neu,3.0,2.0,2.5
46.2735,49.83,Ses01F_impro04_F006,neu,3.0,3.5,3.5
58.71,60.0937,Ses01F_impro04_F009,neu,2.5,2.5,2.5
76.49,80.7269,Ses01F_impro04_F013,neu,3.0,3.5,3.5
85.49,86.98,Ses01F_impro04_F014,neu,2.5,3.0,2.5
170.83,172.84,Ses01F_impro04_F028,ang,2.0,3.5,3.5
175.27,178.43,Ses01F_impro04_F029,ang,1.5,4.0,4.0
180.3025,183.4875,Ses01F_impro04_F030,ang,1.5,3.5,4.0
184.47,188.87,Ses01F_impro04_F031,ang,1.5,3.0,3.5
189.12,192.02,Ses01F_impro04_F032,ang,2.0,3.5,3.5
193.5875,199.4325,Ses01F_impro04_F033,ang,1.5,3.5,4.5
2.7418,6.6575,Ses01F_impro04_M000,neu,3.0,2.5,2.5
10.46,12.13,Ses01F_impro04_M001,neu,3.0,2.5,2.0
15.64,18.9,Ses01F_impro04_M002,neu,3.0,2.5,3.0
26.91,28.71,Ses01F_impro04_M003,neu,3.0,2.5,2.5
30.88,35.5225,Ses01F_impro04_M004,neu,3.0,3.0,3.0
37.19,40.53,Ses01F_impro04_M005,neu,3.0,3.0,3.0
40.54,43.576,Ses01F_impro04_M006,neu,3.0,3.5,2.5
49.39,50.58,Ses01F_impro04_M007,neu,3.5,3.0,2.5
55.21,56.33,Ses01F_impro04_M008,neu,3.0,3.0,2.5
56.35,59.0245,Ses01F_impro04_M009,neu,3.0,3.0,3.0
59.8,61.55,Ses01F_impro04_M010,neu,3.0,2.5,2.0
65.97,69.77,Ses01F_impro04_M011,neu,3.0,3.0,2.5
70.38,72.7264,Ses01F_impro04_M012,neu,3.0,3.0,2.5
73.7473,77.15,Ses01F_impro04_M013,neu,3.0,2.0,3.0
80.1435,87.81,Ses01F_impro04_M014,neu,3.5,3.5,3.5
92.37,99.27,Ses01F_impro04_M015,neu,2.5,3.5,3.0
100.485,103.47,Ses01F_impro04_M016,neu,3.0,2.5,2.5
104.97,107.78,Ses01F_impro04_M017,neu,3.0,3.5,3.0
111.66,117.725,Ses01F_impro04_M018,neu,3.0,3.5,3.0
118.46,119.77,Ses01F_impro04_M019,neu,3.0,2.5,2.5
121.5,123.42,Ses01F_impro04_M020,neu,3.0,2.5,2.5
129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3.0
139.5219,141.8225,Ses01F_impro04_M022,neu,3.0,2.5,2.5
144.9125,149.51,Ses01F_impro04_M023,neu,2.5,2.5,2.0
151.84,154.03,Ses01F_impro04_M024,neu,3.0,2.5,3.0
154.6,157.8,Ses01F_impro04_M025,neu,3.0,3.5,3.5
158.95,161.35,Ses01F_impro04_M026,neu,3.5,3.0,3.0
162.12,164.7825,Ses01F_impro04_M027,neu,3.5,3.5,3.5
165.47,166.71,Ses01F_impro04_M028,neu,3.0,2.5,2.0
178.0033,180.865,Ses01F_impro04_M031,neu,3.0,2.5,2.5
182.82,185.54,Ses01F_impro04_M032,neu,2.5,2.0,1.5
33.78,35.9,Ses01F_impro05_F008,ang,2.5,2.5,3.5
36.71,44.03,Ses01F_impro05_F009,ang,2.5,2.5,3.5
73.87,75.5375,Ses01F_impro05_F011,ang,2.0,4.5,3.5
75.61,80.73,Ses01F_impro05_F012,ang,2.5,3.5,3.0
99.52,102.9,Ses01F_impro05_F014,ang,1.5,4.0,4.0
103.005,118.5,Ses01F_impro05_F015,ang,1.5,4.5,4.5
118.53,122.44,Ses01F_impro05_F016,ang,1.5,4.5,4.0
127.485,136.85,Ses01F_impro05_F017,ang,1.5,5.0,4.5
137.715,140.11,Ses01F_impro05_F018,ang,1.5,4.0,4.0
140.225,145.6,Ses01F_impro05_F019,ang,1.5,4.0,4.5
149.365,153.8,Ses01F_impro05_F020,ang,1.5,4.5,4.5
155.6,160.36,Ses01F_impro05_F021,ang,1.5,4.5,4.5
160.41,163.7975,Ses01F_impro05_F022,ang,1.5,4.5,4.0
163.88,165.8,Ses01F_impro05_F023,ang,2.0,3.0,4.0
166.33,167.71,Ses01F_impro05_F024,ang,2.0,3.0,4.0
171.09,174.2,Ses01F_impro05_F025,ang,1.5,4.5,4.5
177.6025,179.09,Ses01F_impro05_F026,ang,2.0,3.5,3.5
188.78,190.8975,Ses01F_impro05_F028,ang,2.0,3.0,4.0
195.38,199.33,Ses01F_impro05_F029,ang,1.5,3.0,3.5
202.86,206.17,Ses01F_impro05_F030,ang,2.0,3.0,3.5
3.61,5.19,Ses01F_impro05_M000,neu,4.0,2.5,2.0
5.21,6.44,Ses01F_impro05_M001,hap,4.0,2.5,2.0
6.6,7.71,Ses01F_impro05_M002,hap,4.0,2.5,2.0
8.32,9.8,Ses01F_impro05_M003,neu,4.0,2.5,2.0
12.26,13.78,Ses01F_impro05_M004,neu,3.5,1.5,2.0
21.84,25.9,Ses01F_impro05_M005,neu,3.5,2.5,2.0
25.99,27.7272,Ses01F_impro05_M006,neu,3.5,2.5,2.0
28.29,34.1425,Ses01F_impro05_M007,neu,3.5,2.5,2.0
34.7,36.52,Ses01F_impro05_M008,neu,3.0,2.5,2.0
36.91,42.76,Ses01F_impro05_M009,neu,2.5,2.5,2.0
43.86,49.97,Ses01F_impro05_M010,neu,2.5,2.5,2.0
49.97,70.26,Ses01F_impro05_M011,neu,2.5,2.5,2.0
70.38,73.14,Ses01F_impro05_M012,neu,2.5,2.0,1.5
73.55,74.99,Ses01F_impro05_M013,neu,2.5,2.0,1.5
75.03,76.48,Ses01F_impro05_M014,neu,2.5,2.5,1.5
80.22,83.2425,Ses01F_impro05_M015,neu,2.5,2.0,1.5
85.72,93.9575,Ses01F_impro05_M016,neu,2.5,2.5,2.0
94.005,100.4,Ses01F_impro05_M017,neu,2.5,2.5,2.5
111.28,112.81,Ses01F_impro05_M019,neu,2.5,2.0,2.0
118.04,119.37,Ses01F_impro05_M020,neu,2.5,2.0,2.0
131.02,133.25,Ses01F_impro05_M022,neu,2.5,2.0,2.0
136.19,143.5,Ses01F_impro05_M023,neu,2.5,3.5,2.5
144.85,151.16,Ses01F_impro05_M024,neu,2.5,3.0,2.5
151.335,152.71,Ses01F_impro05_M025,neu,2.5,2.5,2.0
152.8325,158.58,Ses01F_impro05_M026,neu,2.5,2.5,2.5
159.66,161.37,Ses01F_impro05_M027,neu,2.5,2.5,2.0
163.25,166.99,Ses01F_impro05_M028,neu,2.5,2.5,2.0
167.15,173.63,Ses01F_impro05_M029,neu,2.5,2.5,2.5
173.7325,178.2625,Ses01F_impro05_M030,neu,3.0,2.5,2.0
178.59,180.87,Ses01F_impro05_M031,neu,3.0,2.5,2.5
198.66,205.17,Ses01F_impro05_M034,neu,2.5,2.5,2.5
205.63,211.94,Ses01F_impro05_M035,neu,2.5,2.0,1.5
26.07,27.65,Ses01F_impro06_F002,sad,2.0,1.5,2.5
34.45,35.78,Ses01F_impro06_F003,neu,3.0,2.0,2.5
36.07,38.04,Ses01F_impro06_F004,neu,3.5,2.0,3.0
39.6025,46.29,Ses01F_impro06_F005,sad,2.0,2.0,4.0
47.34,59.38,Ses01F_impro06_F006,sad,3.5,3.0,4.0
59.4525,67.4525,Ses01F_impro06_F007,sad,3.5,3.0,4.0
70.22,80.13,Ses01F_impro06_F008,sad,2.5,3.5,3.5
80.16,87.74,Ses01F_impro06_F009,neu,2.5,3.0,3.5
87.83,93.67,Ses01F_impro06_F010,sad,2.0,2.5,3.5
101.83,116.91,Ses01F_impro06_F011,sad,2.0,3.0,4.0
117.07,126.04,Ses01F_impro06_F012,sad,2.0,3.5,4.5
132.9575,134.49,Ses01F_impro06_F013,sad,2.0,2.0,2.0
135.96,137.95,Ses01F_impro06_F014,sad,3.0,3.0,2.5
138.0685,141.05,Ses01F_impro06_F015,sad,2.0,2.0,2.5
141.84,149.4375,Ses01F_impro06_F016,neu,4.0,3.0,3.5
167.64,174.84,Ses01F_impro06_F018,neu,4.0,3.0,3.5
176.35,178.01,Ses01F_impro06_F019,neu,2.5,2.0,2.5
182.56,197.73,Ses01F_impro06_F020,sad,2.5,3.0,4.0
197.755,214.34,Ses01F_impro06_F021,sad,2.0,3.0,4.0
217.5,222.41,Ses01F_impro06_F022,sad,4.0,3.0,3.5
223.52,227.55,Ses01F_impro06_F023,sad,2.5,2.0,2.5
229.08,235.98,Ses01F_impro06_F024,sad,1.5,2.0,3.0
237.53,256.48,Ses01F_impro06_F025,sad,3.0,3.5,4.5
266.55,275.31,Ses01F_impro06_F026,sad,3.0,3.0,3.5
275.38,281.6,Ses01F_impro06_F027,neu,2.0,2.0,3.5
282.01,311.14,Ses01F_impro06_F028,sad,3.0,3.5,4.0
11.46,14.74,Ses01F_impro06_M000,sad,2.5,2.0,3.0
18.49,24.91,Ses01F_impro06_M001,neu,2.5,3.0,3.5
25.12,26.56,Ses01F_impro06_M002,neu,2.5,2.0,3.0
28.97,35.02,Ses01F_impro06_M003,sad,2.5,2.0,3.5
56.17,57.49,Ses01F_impro06_M004,neu,3.0,3.0,2.5
86.96,88.63,Ses01F_impro06_M005,neu,3.0,2.0,2.5
107.78,109.27,Ses01F_impro06_M006,neu,3.0,2.0,2.5
125.47,127.19,Ses01F_impro06_M007,sad,3.0,2.0,2.5
134.4,136.49,Ses01F_impro06_M008,neu,3.0,2.5,2.5
137.09,138.44,Ses01F_impro06_M009,neu,3.0,2.5,2.5
144.09,145.68,Ses01F_impro06_M010,neu,3.0,2.5,3.0
155.07,158.38,Ses01F_impro06_M011,neu,3.0,2.0,3.0
165.61,168.1,Ses01F_impro06_M012,neu,2.5,2.5,2.5
174.39,177.15,Ses01F_impro06_M013,neu,3.0,2.5,2.5
219.73,221.03,Ses01F_impro06_M014,neu,3.0,2.5,2.0
255.35,257.31,Ses01F_impro06_M015,neu,3.0,3.0,2.5
262.99,266.175,Ses01F_impro06_M016,neu,3.0,2.5,2.5
3.95,10.59,Ses01F_impro07_F000,hap,5.0,5.0,4.5
19.61,31.65,Ses01F_impro07_F002,hap,4.0,4.0,3.0
32.52,34.9,Ses01F_impro07_F003,hap,4.5,4.5,4.5
37.1625,42.49,Ses01F_impro07_F004,hap,3.0,3.5,3.0
42.955,45.885,Ses01F_impro07_F005,hap,5.0,4.5,4.5
81.0275,83.305,Ses01F_impro07_F009,hap,4.0,3.0,2.5
84.51,88.31,Ses01F_impro07_F010,hap,5.0,4.5,4.0
94.86,100.74,Ses01F_impro07_F012,hap,4.5,4.0,3.5
103.26,110.46,Ses01F_impro07_F013,hap,4.5,4.0,4.0
133.3125,142.3625,Ses01F_impro07_F016,hap,4.5,3.5,3.0
2.97,4.78,Ses01F_impro07_M000,hap,3.5,3.0,2.0
7.5325,11.96,Ses01F_impro07_M001,hap,4.5,4.5,4.0
13.92,19.09,Ses01F_impro07_M002,hap,4.5,4.0,4.0
20.68,28.06,Ses01F_impro07_M003,hap,4.5,3.5,2.5
30.915,38.81,Ses01F_impro07_M004,hap,4.0,4.0,3.0
41.17,46.9975,Ses01F_impro07_M005,hap,4.5,4.5,3.5
47.11,52.8125,Ses01F_impro07_M006,hap,4.5,4.5,3.5
54.16,63.28,Ses01F_impro07_M007,hap,4.5,4.5,4.5
64.6275,67.24,Ses01F_impro07_M008,hap,4.0,3.0,3.0
67.725,74.0325,Ses01F_impro07_M009,hap,3.5,4.0,3.5
82.6575,87.1025,Ses01F_impro07_M012,neu,3.0,2.5,3.0
87.5875,90.65,Ses01F_impro07_M013,neu,4.0,2.5,2.5
94.29,99.37,Ses01F_impro07_M014,hap,4.0,4.5,3.0
99.9875,110.54,Ses01F_impro07_M015,hap,4.5,4.0,3.5
116.28,119.8507,Ses01F_impro07_M017,hap,4.0,3.5,2.5
123.2575,128.04,Ses01F_impro07_M018,neu,4.0,3.0,3.0
128.54,141.685,Ses01F_impro07_M019,hap,4.5,4.0,3.0
6.77,8.46,Ses01M_impro01_F000,ang,1.5,3.5,4.5
8.55,10.6,Ses01M_impro01_F001,ang,2.5,3.5,3.5
39.89,43.31,Ses01M_impro01_F007,ang,2.0,3.5,4.0
43.31,47.0461,Ses01M_impro01_F008,ang,1.5,4.0,4.5
61.05,63.21,Ses01M_impro01_F011,ang,2.0,4.0,4.5
65.545,67.47,Ses01M_impro01_F012,ang,2.5,2.5,4.0
98.46,102.07,Ses01M_impro01_F019,ang,1.0,4.5,4.5
105.76,109.09,Ses01M_impro01_F020,ang,1.0,4.0,5.0
109.19,114.1025,Ses01M_impro01_F021,ang,1.0,4.5,5.0
114.13,124.82,Ses01M_impro01_F022,ang,1.0,5.0,5.0
132.89,136.6025,Ses01M_impro01_F024,neu,3.0,2.5,3.0
137.06,140.49,Ses01M_impro01_F025,neu,3.0,3.0,4.0
17.66,20.14,Ses01M_impro01_M003,neu,2.5,3.0,2.5
54.49,56.71,Ses01M_impro01_M010,neu,2.0,3.0,3.0
96.91,100.53,Ses01M_impro01_M020,ang,1.5,4.5,4.0
118.835,122.18,Ses01M_impro01_M025,ang,1.5,4.0,4.5
148.0,149.12,Ses01M_impro01_M030,ang,1.5,3.0,4.0
149.18,151.85,Ses01M_impro01_M031,ang,1.5,3.5,4.5
151.85,157.36,Ses01M_impro01_M032,ang,1.5,4.5,4.5
8.0737,11.47,Ses01M_impro02_F000,neu,3.0,2.5,2.5
85.84,89.14,Ses01M_impro02_F009,sad,2.5,2.5,2.5
90.39,93.65,Ses01M_impro02_F010,sad,2.5,2.5,3.0
144.54,148.6,Ses01M_impro02_F013,sad,3.0,3.5,3.5
157.42,160.11,Ses01M_impro02_F015,sad,2.5,2.0,2.5
172.41,177.35,Ses01M_impro02_F017,sad,4.0,3.5,3.0
201.7575,204.05,Ses01M_impro02_F019,sad,3.0,3.0,3.0
4.5582,7.86,Ses01M_impro02_M000,neu,3.0,2.5,2.5
13.76,17.52,Ses01M_impro02_M001,sad,2.0,2.0,3.5
19.33,23.63,Ses01M_impro02_M002,sad,2.5,2.5,2.5
27.11,29.825,Ses01M_impro02_M003,sad,2.0,2.5,3.0
49.66,58.18,Ses01M_impro02_M007,sad,2.0,3.0,3.0
75.73,78.6525,Ses01M_impro02_M009,sad,2.0,2.5,3.5
79.18,81.86,Ses01M_impro02_M010,sad,2.0,2.0,2.5
82.09,86.28,Ses01M_impro02_M011,sad,2.5,2.5,3.5
88.825,90.655,Ses01M_impro02_M012,sad,3.0,1.5,1.5
95.45,99.875,Ses01M_impro02_M013,sad,1.5,3.0,3.5
106.1,114.44,Ses01M_impro02_M014,sad,2.0,2.0,3.5
115.0275,117.31,Ses01M_impro02_M015,sad,2.0,2.0,2.5
122.03,126.42,Ses01M_impro02_M016,sad,2.5,3.0,3.5
131.06,137.74,Ses01M_impro02_M017,sad,3.0,2.0,3.0
137.75,140.94,Ses01M_impro02_M018,sad,3.0,2.0,3.5
149.06,152.58,Ses01M_impro02_M019,sad,3.0,2.0,3.0
154.43,156.51,Ses01M_impro02_M020,sad,3.5,1.5,3.0
163.8,167.56,Ses01M_impro02_M021,sad,2.5,2.5,2.5
170.94,173.01,Ses01M_impro02_M022,sad,3.5,3.0,2.5
183.77,189.08,Ses01M_impro02_M023,sad,1.5,2.5,3.5
214.59,217.04,Ses01M_impro02_M025,sad,3.0,2.5,3.5
12.37,13.7468,Ses01M_impro03_F002,hap,2.5,3.0,3.0
16.19,17.7425,Ses01M_impro03_F003,hap,3.5,3.0,3.0
19.6,22.1975,Ses01M_impro03_F004,hap,4.0,3.5,3.5
26.0,33.21,Ses01M_impro03_F005,hap,4.5,4.5,4.0
35.5,39.235,Ses01M_impro03_F006,hap,4.0,4.5,4.5
39.45,43.78,Ses01M_impro03_F007,hap,5.0,4.0,4.5
47.32,54.52,Ses01M_impro03_F008,hap,4.0,3.5,4.0
55.9325,59.71,Ses01M_impro03_F009,hap,4.0,3.5,3.0
61.1325,72.19,Ses01M_impro03_F010,hap,3.5,4.5,4.0
72.4875,80.9,Ses01M_impro03_F011,hap,4.5,3.5,4.0
80.93,88.45,Ses01M_impro03_F012,hap,4.0,3.5,4.0
90.11,91.84,Ses01M_impro03_F013,hap,4.5,3.5,4.0
92.87,96.13,Ses01M_impro03_F014,hap,4.5,4.0,4.0
97.35,103.9875,Ses01M_impro03_F015,hap,4.5,4.5,4.5
104.6375,109.06,Ses01M_impro03_F016,hap,4.5,4.0,4.0
113.79,116.7,Ses01M_impro03_F017,neu,3.0,2.0,2.5
117.21,118.47,Ses01M_impro03_F018,neu,3.5,2.5,3.0
120.03,123.64,Ses01M_impro03_F019,hap,4.0,4.0,3.5
123.96,125.74,Ses01M_impro03_F020,hap,4.0,3.0,2.5
128.06,131.59,Ses01M_impro03_F021,neu,3.5,3.0,3.5
132.16,136.15,Ses01M_impro03_F022,hap,4.5,4.0,3.5
136.29,144.07,Ses01M_impro03_F023,hap,4.0,4.5,4.0
144.61,146.41,Ses01M_impro03_F024,hap,4.0,3.0,3.0
147.17,150.845,Ses01M_impro03_F025,hap,4.0,3.5,3.0
151.26,153.9075,Ses01M_impro03_F026,hap,4.0,3.5,3.5
2.92,5.56,Ses01M_impro03_M000,hap,4.0,3.0,2.5
6.31,11.57,Ses01M_impro03_M001,hap,3.5,3.5,3.0
13.26,16.87,Ses01M_impro03_M003,neu,3.5,2.5,2.5
17.28,26.54,Ses01M_impro03_M004,hap,3.5,4.0,4.0
26.6,30.79,Ses01M_impro03_M005,hap,4.5,4.5,4.0
32.05,39.5125,Ses01M_impro03_M006,neu,4.0,4.0,3.0
39.5775,47.66,Ses01M_impro03_M007,hap,5.0,4.5,4.5
48.08,63.1475,Ses01M_impro03_M008,hap,4.0,4.0,3.5
70.95,73.63,Ses01M_impro03_M010,hap,4.0,4.0,3.5
73.67,75.96,Ses01M_impro03_M011,hap,4.5,4.0,3.5
80.76,82.48,Ses01M_impro03_M012,hap,4.0,3.0,3.0
84.5075,86.66,Ses01M_impro03_M013,hap,4.0,2.5,3.0
87.42,90.96,Ses01M_impro03_M014,neu,3.0,3.0,3.0
91.37,93.47,Ses01M_impro03_M015,hap,3.5,2.5,3.0
94.77,98.7,Ses01M_impro03_M016,hap,4.5,4.0,3.5
103.1,114.43,Ses01M_impro03_M017,hap,4.0,4.0,3.0
115.84,117.89,Ses01M_impro03_M018,neu,3.0,2.0,2.5
117.98,121.76,Ses01M_impro03_M019,hap,3.5,3.0,2.5
121.83,125.14,Ses01M_impro03_M020,hap,3.5,3.0,3.5
125.32,134.0075,Ses01M_impro03_M021,neu,3.5,3.0,3.5
135.66,145.44,Ses01M_impro03_M022,hap,3.5,4.5,4.0
145.97,150.51,Ses01M_impro03_M023,hap,4.5,3.5,3.5
150.58,152.04,Ses01M_impro03_M024,hap,4.0,3.0,3.0
9.0256,11.695,Ses01M_impro04_F000,neu,2.5,2.5,3.5
21.3952,23.2492,Ses01M_impro04_F002,neu,2.5,2.5,3.0
31.256,34.4725,Ses01M_impro04_F003,neu,2.5,2.0,3.0
47.75,50.5,Ses01M_impro04_F004,neu,2.5,2.5,2.5
63.33,66.63,Ses01M_impro04_F005,neu,3.0,2.0,2.5
67.45,74.04,Ses01M_impro04_F006,neu,2.5,2.0,3.0
74.21,77.53,Ses01M_impro04_F007,neu,3.0,3.0,2.5
84.99,87.2706,Ses01M_impro04_F008,neu,3.0,3.5,3.0
87.29,91.63,Ses01M_impro04_F009,neu,2.5,2.5,3.5
95.19,103.235,Ses01M_impro04_F010,neu,2.5,3.0,3.5
104.73,116.885,Ses01M_impro04_F011,neu,2.5,3.5,3.5
118.0,119.79,Ses01M_impro04_F012,neu,2.5,3.0,3.5
120.22,125.24,Ses01M_impro04_F013,neu,2.5,3.0,2.5
128.79,131.74,Ses01M_impro04_F014,neu,3.0,2.5,3.5
135.94,138.22,Ses01M_impro04_F015,neu,3.0,2.5,2.5
138.5,139.99,Ses01M_impro04_F016,neu,2.5,2.5,2.5
141.06,145.04,Ses01M_impro04_F017,neu,3.0,3.0,2.5
145.21,153.05,Ses01M_impro04_F018,neu,2.5,3.5,3.5
153.75,157.795,Ses01M_impro04_F019,neu,2.5,3.0,4.0
157.97,160.35,Ses01M_impro04_F020,neu,2.5,3.0,3.5
162.17,164.99,Ses01M_impro04_F021,neu,3.5,2.5,3.0
166.29,172.94,Ses01M_impro04_F022,neu,3.0,3.0,3.5
178.1672,181.0057,Ses01M_impro04_F023,neu,4.0,3.5,3.0
186.3825,189.6225,Ses01M_impro04_F025,neu,3.0,3.5,3.0
119.31,120.59,Ses01M_impro04_M014,ang,2.5,2.5,2.5
139.46,147.2,Ses01M_impro04_M018,ang,1.5,5.0,4.5
172.34,178.643,Ses01M_impro04_M023,ang,2.0,4.5,5.0
189.3,190.8275,Ses01M_impro04_M025,neu,4.5,4.5,1.0
2.2687,4.32,Ses01M_impro05_F000,neu,3.0,3.0,3.0
7.23,9.88,Ses01M_impro05_F001,neu,3.0,2.5,3.5
10.1725,13.7,Ses01M_impro05_F002,neu,3.0,2.5,3.5
15.125,16.415,Ses01M_impro05_F003,neu,3.0,3.5,2.5
17.97,22.03,Ses01M_impro05_F004,neu,3.0,3.0,3.5
22.2,25.06,Ses01M_impro05_F005,neu,2.5,2.5,3.0
25.1125,27.86,Ses01M_impro05_F006,neu,2.5,2.5,3.0
30.5125,33.31,Ses01M_impro05_F007,neu,2.5,2.0,3.0
45.67,49.92,Ses01M_impro05_F011,neu,3.5,3.0,3.5
49.92,52.31,Ses01M_impro05_F012,neu,3.0,3.5,3.5
53.7075,56.24,Ses01M_impro05_F013,neu,3.0,2.5,3.5
58.5,60.23,Ses01M_impro05_F014,neu,3.0,2.5,3.0
61.48,67.48,Ses01M_impro05_F015,neu,2.5,3.5,4.0
67.51,73.25,Ses01M_impro05_F016,neu,2.5,3.0,4.0
91.41,100.24,Ses01M_impro05_F017,neu,2.5,3.0,3.0
100.24,102.86,Ses01M_impro05_F018,neu,3.0,3.0,3.5
102.92,106.17,Ses01M_impro05_F019,neu,2.0,4.0,4.0
